EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
260219.600,256936.200,473670.100,480720.100,224743.300,209255.200,216397.900,225580.900,0.000
260223.100,256935.000,473636.400,480692.700,224757.100,209261.800,216402.600,225581.300,0.000
260213.200,256927.900,473596.200,480653.600,224754.300,209260.300,216396.100,225573.400,0.000
260201.500,256920.000,473551.300,480614.300,224736.800,209250.700,216385.700,225564.100,0.000
260203.800,256922.500,473521.800,480593.200,224739.300,209257.200,216393.200,225572.200,0.000
260213.400,256926.100,473494.700,480570.100,224752.800,209265.000,216401.100,225578.000,0.000
260209.600,256923.500,473454.400,480532.700,224748.700,209258.600,216393.000,225568.900,0.000
260204.200,256922.200,473411.700,480495.400,224732.500,209250.700,216382.200,225560.900,0.000
260201.400,256921.900,473367.800,480464.100,224723.800,209245.300,216379.500,225558.500,0.000
260205.700,256922.100,473336.100,480438.500,224728.700,209246.000,216382.600,225560.700,0.000
260203.800,256917.200,473302.500,480405.300,224729.300,209241.700,216381.100,225557.600,0.000
260194.700,256912.400,473264.500,480365.800,224714.700,209233.000,216375.000,225556.000,0.000
260187.100,256906.400,473227.400,480335.900,224704.200,209229.400,216373.800,225557.400,0.000
260190.000,256907.200,473197.600,480313.900,224708.500,209229.700,216378.000,225561.300,0.000
260191.800,256906.100,473167.000,480286.300,224714.000,209228.800,216380.600,225561.200,0.000
260179.900,256896.300,473124.100,480245.300,224699.800,209221.400,216372.000,225554.500,0.000
260173.100,256893.000,473086.000,480209.600,224690.300,209216.700,216366.100,225547.200,0.000
260176.400,256895.100,473052.800,480182.600,224692.600,209215.700,216363.900,225543.200,0.000
260177.100,256891.700,473024.600,480156.100,224702.100,209219.200,216367.800,225542.500,0.000
260163.900,256883.300,472984.500,480119.900,224688.600,209211.900,216356.400,225532.800,0.000
260163.200,256885.800,472953.700,480095.400,224678.700,209210.800,216352.700,225533.000,0.000
260170.200,256889.600,472932.100,480079.400,224683.700,209215.000,216359.600,225539.300,0.000
260172.300,256884.900,472905.900,480046.100,224691.200,209212.900,216357.100,225531.300,0.000
260169.200,256881.400,472870.000,480012.900,224690.000,209212.300,216348.600,225524.300,0.000
260158.900,256874.900,472837.100,479980.100,224680.900,209210.200,216339.000,225519.300,0.000
260161.300,256875.100,472813.300,479958.500,224683.400,209212.400,216339.200,225520.600,0.000
260168.200,256876.300,472788.400,479940.300,224697.800,209218.700,216347.300,225524.300,0.000
260164.800,256874.000,472755.900,479911.800,224696.400,209217.500,216347.100,225524.500,0.000
260159.400,256872.900,472727.300,479883.400,224688.200,209216.200,216345.100,225524.700,0.000
260156.500,256869.900,472699.700,479859.200,224688.100,209216.900,216346.700,225526.600,0.000
260159.000,256869.000,472675.000,479839.000,224696.400,209222.100,216352.300,225531.700,0.000
260160.800,256870.500,472649.600,479816.900,224701.000,209229.100,216356.500,225536.100,0.000
260156.100,256870.500,472616.000,479787.300,224690.600,209225.600,216350.700,225533.000,0.000
260157.200,256872.300,472589.800,479767.200,224688.000,209226.100,216355.800,225537.300,0.000
260160.800,256871.500,472563.700,479743.800,224694.800,209229.900,216358.900,225535.600,0.000
260161.200,256871.400,472536.400,479719.800,224698.900,209230.100,216360.900,225537.700,0.000
260154.600,256869.300,472501.300,479689.200,224683.100,209220.900,216355.000,225534.800,0.000
260150.700,256867.900,472471.300,479664.300,224672.000,209215.600,216350.500,225533.800,0.000
260158.600,256870.300,472448.800,479645.900,224679.100,209216.400,216353.500,225536.800,0.000
260167.100,256875.900,472428.600,479629.800,224686.900,209217.600,216356.500,225539.700,0.000
260157.800,256871.400,472394.700,479598.300,224672.900,209208.700,216342.300,225528.800,0.000
260149.400,256866.200,472363.800,479565.400,224659.900,209201.800,216331.500,225518.900,0.000
260152.300,256867.900,472345.800,479546.600,224667.200,209204.300,216335.800,225521.800,0.000
260157.300,256869.300,472327.400,479529.400,224681.400,209207.800,216338.800,225522.200,0.000
260152.300,256867.400,472301.900,479508.000,224677.200,209205.700,216334.400,225524.100,0.000
260145.200,256863.800,472274.500,479482.300,224666.900,209201.500,216327.300,225523.700,0.000
260146.400,256864.100,472253.200,479465.800,224673.000,209202.800,216326.300,225527.100,0.000
260154.900,256867.800,472231.500,479447.700,224682.800,209204.700,216329.400,225528.200,0.000
260156.000,256868.900,472201.700,479424.000,224678.000,209204.300,216328.300,225529.400,0.000
260152.100,256869.300,472170.400,479399.900,224670.200,209202.300,216325.300,225528.800,0.000
260150.700,256869.500,472145.500,479379.700,224669.100,209201.300,216327.300,225529.500,0.000
260155.900,256868.400,472124.600,479361.200,224680.900,209204.200,216331.900,225531.300,0.000
260153.100,256864.400,472098.900,479335.400,224680.500,209202.100,216328.300,225526.800,0.000
260146.500,256862.300,472071.700,479307.900,224668.900,209198.500,216322.700,225523.800,0.000
260146.100,256861.000,472049.100,479284.100,224664.800,209194.700,216315.300,225517.300,0.000
260150.500,256862.900,472030.800,479270.300,224673.400,209195.500,216315.300,225516.000,0.000
260150.800,256862.300,472012.600,479251.400,224680.600,209198.400,216314.200,225515.400,0.000
260142.800,256857.900,471989.100,479222.100,224673.800,209197.700,216311.400,225512.000,0.000
260137.800,256856.500,471965.300,479199.300,224669.000,209196.600,216312.400,225509.700,0.000
260148.200,256862.200,471943.200,479187.400,224680.500,209204.200,216320.500,225516.400,0.000
260148.500,256859.100,471919.500,479167.500,224688.100,209207.500,216324.800,225519.500,0.000
